,Highest_Charting_Position,Number_Of_Times_Charted,Week_Of_Highest_Charting,Song_Name,Streams,Artist,Artist_Followers,Song_Id,Genre,Release_Date,Weeks_Charted,Popularity,Danceability,Energy,Loudness,Speechiness,Acousticness,Liveness,Tempo,Duration_(Ms),Valence,Chord,Gender,Age,Type,Country,Genre2,Genre1,Genre_Gen,Month_Highest_Charting,Season_Highest_Charting,Year_Highest_Charting
819,55,4,2021-01-15,Vibez,"5,071,718",ZAYN,16655692,709F3MwiVvLD0LQXeKs5Cz,"[""['dance pop'"", "" 'pop'"", "" 'post-teen pop'"", "" 'uk pop']""]",2021-01-08,"2021-01-29--2021-02-05
2021-01-22--2021-01-29
2021-01-15--2021-01-22
2021-01-08--2021-01-15",69.0,0.635,0.659,-7.499,0.116,0.242,0.105,96.855,163127.0,0.34,G,male,27,person,GB,pop,dance pop,dance pop,January,Winter,2021
820,49,4,2020-09-25,Better,"4,933,462",ZAYN,16655692,1dLXLETYiZohIZWnse4ypG,"[""['dance pop'"", "" 'pop'"", "" 'post-teen pop'"", "" 'uk pop']""]",2020-09-25,"2020-10-09--2020-10-16
2020-10-02--2020-10-09
2020-09-25--2020-10-02
2020-01-03--2020-01-10",68.0,0.637,0.418,-7.137,0.301,0.353,0.131,84.295,174517.0,0.0807,D,male,27,person,GB,pop,dance pop,dance pop,September,Autumn,2020
821,83,4,2021-01-08,Wasted On You,"4,948,563",Morgan Wallen,2147875,3cBsEDNhFI9E82vPj3kvi3,"[""['contemporary country']""]",2021-01-08,"2021-01-29--2021-02-05
2021-01-22--2021-01-29
2021-01-15--2021-01-22
2021-01-08--2021-01-15",76.0,0.505,0.657,-5.24,0.0318,0.373,0.126,196.0,178520.0,0.252,B,male,27,person,US,,contemporary country,other,January,Winter,2021
822,90,4,2021-01-08,Somebody’s Problem,"5,332,437",Morgan Wallen,2147875,0SErdEdRcVX1uJCf1eTGYH,"[""['contemporary country']""]",2020-11-20,"2021-01-22--2021-01-29
2021-01-15--2021-01-22
2021-01-08--2021-01-15
2020-11-20--2020-11-27",70.0,0.657,0.54,-7.675,0.0287,0.662,0.123,136.97,161773.0,0.625,F,male,27,person,US,,contemporary country,other,January,Winter,2021
823,158,1,2021-01-08,Sand In My Boots,"5,446,609",Morgan Wallen,2147875,0uRrG2jRR5tuifsYIJHEao,"[""['contemporary country']""]",2021-01-08,2021-01-08--2021-01-15,75.0,0.403,0.537,-6.628,0.031,0.59,0.112,69.877,202133.0,0.414,D#/Eb,male,27,person,US,,contemporary country,other,January,Winter,2021
824,168,1,2021-01-08,865,"5,160,123",Morgan Wallen,2147875,0sKEilrw1GrBlG6qsTCrP4,"[""['contemporary country']""]",2021-01-08,2021-01-08--2021-01-15,70.0,0.532,0.584,-5.254,0.0248,0.723,0.101,88.003,190680.0,0.367,G#/Ab,male,27,person,US,,contemporary country,other,January,Winter,2021
825,53,5,2020-08-14,7 Summers,"5,064,504",Morgan Wallen,2147875,4obHzpwGrjoTuZh2DItEMZ,"[""['contemporary country']""]",2021-01-08,"2021-01-08--2021-01-15
2020-09-11--2020-09-18
2020-08-28--2020-09-04
2020-08-21--2020-08-28
2020-08-14--2020-08-21",73.0,0.466,0.786,-5.13,0.0328,0.417,0.125,203.903,210507.0,0.571,C,male,27,person,US,,contemporary country,other,August,Summer,2020
826,188,1,2021-01-08,More Than My Hometown,"4,879,971",Morgan Wallen,2147875,5OELUCYgOHKFAvCERnAvfS,"[""['contemporary country']""]",2021-01-08,2021-01-08--2021-01-15,75.0,0.62,0.869,-5.479,0.0462,0.615,0.131,126.019,216573.0,0.597,F#/Gb,male,27,person,US,,contemporary country,other,January,Winter,2021
827,190,1,2021-01-08,Warning,"4,860,714",Morgan Wallen,2147875,64SCQtbRtmO28ks1QhS3w5,"[""['contemporary country']""]",2021-01-08,2021-01-08--2021-01-15,68.0,0.633,0.664,-5.037,0.0294,0.46,0.108,115.058,156747.0,0.268,A#/Bb,male,27,person,US,,contemporary country,other,January,Winter,2021
828,42,17,2020-09-18,Diamonds,"4,931,163",Sam Smith,17097317,5hvwx5i67IwnCkjl9VHkNv,"[""['dance pop'"", "" 'pop'"", "" 'post-teen pop'"", "" 'uk pop']""]",2020-09-17,"2021-01-22--2021-01-29
2021-01-15--2021-01-22
2021-01-08--2021-01-15
2021-01-01--2021-01-08
2020-12-11--2020-12-18
2020-12-04--2020-12-11
2020-11-27--2020-12-04
2020-11-20--2020-11-27
2020-11-13--2020-11-20
2020-11-06--2020-11-13
2020-10-30--2020-11-06
2020-10-23--2020-10-30
2020-10-16--2020-10-23
2020-10-09--2020-10-16
2020-10-02--2020-10-09
2020-09-25--2020-10-02
2020-09-18--2020-09-25",77.0,0.653,0.667,-6.764,0.0423,0.154,0.107,104.181,213869.0,0.556,A#/Bb,other,28,person,GB,pop,dance pop,dance pop,September,Autumn,2020
