,Artist,Event_Name,url,Event_Country,Event_City,Event_Longitude,Event_Latitude
273,ROSALÍA,Rock Werchter - Sunday,https://www.ticketmaster.be/event/rock-werchter-sunday-tickets/53029,Belgium,Werchter,4.70007,50.97278
274,Niack,No events,-,-,-,-,-
275,Luke Combs,Luke Combs w/ Riley Green,https://www.ticketmaster.com/event/Z7r9jZ1Adp_aE,United States Of America,Arlington,-97.082397,32.7542
276,Melanie Martinez,No events,-,-,-,-,-
277,6ix9ine,No events,-,-,-,-,-
278,Childish Gambino,No events,-,-,-,-,-
279,Adele,Weekends with Adele,https://www.ticketmaster.com/weekends-with-adele-las-vegas-nevada-02-25-2023/event/39005B62BB4E9591,United States Of America,Las Vegas,-115.175058,36.116156
280,Chris Brown,Chris Brown,https://www.ticketmaster.co.uk/chris-brown-manchester-21-02-2023/event/1F005D7DB2BF42CF,Great Britain,Manchester,-2.244066,53.488164
281,Natalie Taylor,No events,-,-,-,-,-
282,NAV,NAV,https://www.ticketmaster.com/event/Z7r9jZ1AdjAP4,United States Of America,San Diego,-117.195999,32.777599
283,Logic,DJ Logic & Friends,https://www.ticketweb.com/event/dj-logic-friends-blue-note-jazz-club-tickets/12531295,United States Of America,New York,-74.00065,40.73094
284,Lil Yachty,Rolling Loud California,https://on.fgtix.com/trk/Ntkn,United States Of America,Inglewood,-118.3368854,33.95371247
285,Ashe,Ashe,https://www.ticketmaster.co.uk/ashe-liverpool-21-03-2023/event/1F005D3DE35B96D0,Great Britain,Liverpool,-2.9771058,53.4091275
286,Kehlani,Kehlani,https://www.ticketmaster.co.nz/kehlani-auckland-20-01-2023/event/24005CBB918F3C78,New Zealand,Auckland,174.77687,-36.847021
287,Headie One,Headie One,https://www.ticketmaster.ch/event/headie-one-tickets/15815?language=en-us,Switzerland,Zürich,8.53917,47.38456
288,Noah Cyrus,BeachLife Festival,https://on.fgtix.com/trk/wDIK,United States Of America,Redondo Beach,-118.39284,33.843867
289,Nea,No events,-,-,-,-,-
290,Sam Fischer,No events,-,-,-,-,-
291,Peach Tree Rascals,Peach Tree Rascals,https://www.ticketmaster.com/peach-tree-rascals-san-diego-california-10-16-2024/event/0A005CD19F2B3F6E,United States Of America,San Diego,-117.15951,32.71662
292,Christian Nodal,Christian Nodal,https://www.ticketmaster.com.mx/christian-nodal-zapopan-09-03-2023/event/14005D8AADA439DE,Mexico,Zapopan,-103.38112,20.73324
293,iann dior,No events,-,-,-,-,-
294,Alexander 23,girl in red,https://www.ticketmaster.co.uk/girl-in-red-london-03-04-2023/event/1F005CB3D7C74D55,Great Britain,London,-0.115176,51.465355
295,twocolors,No events,-,-,-,-,-
296,Mustard,Colonel Mustard & the Dijon 5 (Matinee Family Show),https://www.ticketweb.uk/event/colonel-mustard-the-dijon-oran-mor-tickets/12663635?REFERRAL_ID=tmfeed,Great Britain,Glasgow,-4.289157,55.87738
297,jxdn,jxdn,https://concerts.livenation.com/jxdn-sacramento-california-02-24-2023/event/1C005D8D0D4370D7,United States Of America,Sacramento,-121.49087928,38.569993
298,The 1975,THE 1975,https://www.eticketing.co.uk/asmglobalmanchester,Great Britain,Manchester,-2.244066,53.488164
299,Panic! At The Disco,Panic! At The Disco,https://www.ticketmaster.co.uk/panic-at-the-disco-glasgow-03-03-2023/event/36005CB8B2D12F46,Great Britain,Glasgow,-4.288154,55.86087
300,Dominic Fike,No events,-,-,-,-,-
301,Journey,Journey,https://www.ticketmaster.com/journey-durant-oklahoma-01-27-2023/event/0C005D5CC1462BD2,United States Of America,Durant,-96.414088,33.952206
302,Alec Benjamin,Alec Benjamin,https://www.ticketmaster.com.mx/alec-benjamin-mexico-07-02-2023/event/14005D559B5B2F49,Mexico,México,-99.1678772,19.4080696
303,Jason Mraz,Jason Mraz with his Superband and Special Guest Gregory Page,https://www.ticketmaster.com/jason-mraz-with-his-superband-and-del-mar-california-03-18-2023/event/0A005D77B5AD24F7,United States Of America,Del Mar,-117.2583,32.9758
304,Ellie Goulding,Ellie Goulding,https://www.ticketmaster.co.uk/ellie-goulding-london-07-02-2023/event/1F005D87DCC3404C,Great Britain,London,-0.139335,51.535029
305,BROCKHAMPTON,No events,-,-,-,-,-
306,PUBLIC,No events,-,-,-,-,-
307,Sub Urban,"Suburban Hypocrites, F'Cough, 40 Dollar Mike",https://www.ticketweb.ca/event/suburban-hypocrites-fcough-40-dollar-the-park-theatre-tickets/12783935,Canada,Winnipeg,-97.13167,49.86225
308,Wham!,POSTPONED - PENDING NEW DATE - Wham Bam Festival,https://www.universe.com/events/postponed-pending-new-date-wham-bam-festival-tickets-820RND?ref=ticketmaster,United States Of America,Pittsboro,-79.294589,35.791189
309,Brenda Lee,No events,-,-,-,-,-
310,Bobby Helms,No events,-,-,-,-,-
311,Glass Animals,No events,-,-,-,-,-
312,Andy Williams,Uptown Moves: Holla Jazz & DJ Andy Williams,https://www.ticketmaster.ca/uptown-moves-holla-jazz-dj-andy-toronto-ontario-03-18-2024/event/10005732FE0C4E81,Canada,Toronto,-79.414495,43.766058
313,Kelly Clarkson,No events,-,-,-,-,-
314,José Feliciano,No events,-,-,-,-,-
315,Tiësto,Tiësto,https://www.ticketweb.com/event/tisto-exchange-la-tickets/12776015,United States Of America,Los Angeles,-118.2512004,34.0417391
316,Daryl Hall & John Oates,Mr. Holland's Oats - A Tribute to Hall and Oats,https://www.ticketmaster.com/mr-hollands-oats-a-tribute-to-charleston-south-carolina-02-03-2023/event/2D005D7D8A6319F6,United States Of America,Charleston,-79.938335,32.790188
317,The Ronettes,No events,-,-,-,-,-
318,Band Aid,Concert Replay - Queen - Rock Montreal/Live Aid,https://www.ticketmaster.com.au/concert-replay-queen-rock-montreallive-aid-torrensville-16-02-2023/event/13005D96869B0DF1,Australia,Torrensville,138.568989,-34.923168
319,Galantis,No events,-,-,-,-,-
