,Artist,Event_Name,url,Event_Country,Event_City,Event_Longitude,Event_Latitude
94,Calvin Harris,Creamfields South 2023 - 3 Day Camping,https://www.ticketmaster.co.uk/creamfields-south-2023-3-day-camping-chelmsford-26-05-2023/event/1F005CD9D76B3FAB,Great Britain,Chelmsford,0.435907,51.711514
95,Luan Santana,No events,-,-,-,-,-
96,Ed Sheeran,Ed Sheeran: +-=÷x Tour,https://www.ticketmaster.com/ed-sheeran-x-tour-east-rutherford-new-jersey-06-10-2023/event/00005D3DE5604AD8,United States Of America,East Rutherford,-74.074493,40.81359
97,Henrique & Juliano,No events,-,-,-,-,-
98,John Mayer,The Music of John Mayer,https://www.ticketmaster.com.au/the-music-of-john-mayer-city-beach-20-01-2023/event/13005D065ED30C4E,Australia,City Beach,115.76908112,-31.93377686
99,Eagles,Eagles,https://www.ticketmaster.com/eagles-phoenix-arizona-03-01-2023/event/19005D4EB2F93F05,United States Of America,Phoenix,-112.071313,33.445899
100,Apache 207,Apache 207 | Box seat in the Ticketmaster Suite,https://www.ticketmaster.de/event/apache-207-%7C-box-seat-in-the-ticketmaster-suite-tickets/487625?language=en-us,Germany,Berlin,13.44314,52.50573
101,Arizona Zervas,No events,-,-,-,-,-
102,Luciano,Ligabue,https://www.ticketmaster.co.uk/ligabue-london-11-01-2023/event/1F00583BC2D9C951,Great Britain,London,-0.224435,51.503525
103,Machine Gun Kelly,Machine Gun Kelly,https://www.ticketmaster.com/event/Z7r9jZ1Adb47e,United States Of America,Scottsdale,-111.836502,33.6894
104,Anne-Marie,Anne-Marie - Forest Live,https://www.ticketmaster.co.uk/annemarie-forest-live-thetford-16-06-2023/event/37005D7DF68761EE,Great Britain,Thetford,0.663071,52.434407
105,Future,Future,https://www.ticketmaster.com/event/Z7r9jZ1Adjx00,United States Of America,Las Vegas,-115.147301,36.085701
106,Conan Gray,No events,-,-,-,-,-
107,KSI,No events,-,-,-,-,-
108,Tate McRae,No events,-,-,-,-,-
109,Avicii,No events,-,-,-,-,-
110,Gzuz,No events,-,-,-,-,-
111,Travis Scott,Rolling Loud Rotterdam 2023 - Weekend,https://www.ticketmaster.nl/event/rolling-loud-rotterdam-2023-weekend-tickets/287777?language=en-us,Netherlands,Rotterdam,4.48817,51.88314
112,Vance Joy,Vance Joy,https://www.ticketmaster.co.uk/vance-joy-london-29-04-2023/event/36005CACF8A24AF0,Great Britain,London,-0.224458,51.490702
113,Lizzo,LIZZO,https://www.eticketing.co.uk/asmglobalmanchester,Great Britain,Manchester,-2.244066,53.488164
114,Nirvana,Nirvana UK,https://www.ticketmaster.co.uk/nirvana-uk-birmingham-04-02-2023/event/1F005CB8BB364881,Great Britain,Birmingham,-1.89955,52.47406
115,Shakin' Stevens,No events,-,-,-,-,-
116,DJ Snake,Les Francofolies Esch/Alzette - Friday Ticket,https://www.ticketmaster.be/event/les-francofolies-esch-alzette-friday-ticket-tickets/53627,Luxembourg,Esch-sur-Alzette,5.9856,49.48756
117,Lauv,No events,-,-,-,-,-
118,Elvis Presley,Mark Summers As the Young Elvis Presley,https://www.ticketmaster.co.uk/mark-summers-as-the-young-elvis-whitby-30-06-2023/event/35005E26CE9A539B,Great Britain,Whitby,-0.620487,54.490859
119,Miley Cyrus,No events,-,-,-,-,-
120,Trippie Redd,Trippie Redd,https://www.ticketmaster.com/event/Z7r9jZ1Ad4Yu8,United States Of America,Lowell,-71.2957,42.631699
121,Big Sean,No events,-,-,-,-,-
122,Tory Lanez,Rolling Loud California,https://on.fgtix.com/trk/Ntkn,United States Of America,Inglewood,-118.3368854,33.95371247
123,Kane Brown,Bud Light Super Bowl Music Fest - Imagine Dragons and Kane Brown,https://www.ticketmaster.com/bud-light-super-bowl-music-fest-phoenix-arizona-02-11-2023/event/19005D73C4743F11,United States Of America,Phoenix,-112.071313,33.445899
124,A Boogie Wit da Hoodie,A Boogie Wit Da Hoodie,https://www.ticketmaster.co.uk/a-boogie-wit-da-hoodie-manchester-22-03-2023/event/1F005D8EBA5F2E6C,Great Britain,Manchester,-2.2853054,53.4643707
125,Tom Odell,Tom Odell,https://www.ticketmaster.com.mx/tom-odell-zapopan-28-05-2023/event/14005D7CA90C3C75,Mexico,Zapopan,-103.3784284,20.73664846
126,Hozier,Shaky Knees Music Festival,https://on.fgtix.com/trk/AuGK,United States Of America,Atlanta,-84.376217,33.76875
127,NF,UEFA Euro 2024 Qualifier - Northern Ireland V Finland,https://www.ticketmaster.ie/uefa-euro-2024-qualifier-northern-ireland-belfast-26-03-2023/event/38005D827CBC1624,Great Britain,Belfast,-5.951227,54.587364
128,Ninho,No events,-,-,-,-,-
129,Kontra K,No events,-,-,-,-,-
130,Tom Grennan,Tom Grennan,https://www.ticketmaster.co.uk/tom-grennan-birmingham-10-03-2023/event/37005D3C98D04FDC,Great Britain,Birmingham,-1.914924,52.479932
131,Gusttavo Lima,No events,-,-,-,-,-
132,Cardi B,No events,-,-,-,-,-
133,Demi Lovato,No events,-,-,-,-,-
134,5 Seconds of Summer,Fangirl Fantasy: One Direction Vs 5 Seconds Of Summer,https://www.ticketmaster.com/fangirl-fantasy-one-direction-vs-5-madison-wisconsin-02-03-2023/event/07005D6880121272,United States Of America,Madison,-89.380978,43.074566
135,Khalid,Ed Sheeran w/ Khalid,https://www.ticketmaster.com/event/Z7r9jZ1AdbIqy,United States Of America,Arlington,-97.082397,32.7542
136,Chuck Berry,No events,-,-,-,-,-
137,Lana Del Rey,No events,-,-,-,-,-
138,Samra,No events,-,-,-,-,-
139,Anitta,No events,-,-,-,-,-
140,A$AP Ferg,No events,-,-,-,-,-
141,Queen,Shania Twain: Queen Of Me Tour,https://www.ticketmaster.com/shania-twain-queen-of-me-tour-nashville-tennessee-06-07-2023/event/1B005D548B3223CD,United States Of America,Nashville,86.760978,36.134157
142,Shirin David,No events,-,-,-,-,-
143,ITZY,No events,-,-,-,-,-
144,Niall Horan,Pinkpop 2023 (Friday),https://www.ticketmaster.nl/event/pinkpop-2023-friday--tickets/287093?language=en-us,Netherlands,Landgraaf,6.02,50.88219
145,MEDUZA,Meduza,https://www.ticketmaster.com/meduza-washington-district-of-columbia-01-20-2023/event/15005D82374C879F,United States Of America,Washington,-76.97281793,38.91984858
146,Ofenbach,No events,-,-,-,-,-
147,Kylie Minogue,Live And Proud: Sydney WorldPride Opening Concert,https://www.ticketmaster.com.au/live-and-proud-sydney-worldpride-opening-sydney-24-02-2023/event/13005CD68BFD2894,Australia,Sydney,151.213698,-33.867108
148,Coldplay,COLDPLAY,https://www.eticketing.co.uk/principalitystadium,Great Britain,Cardiff,-3.18305,51.477945
149,Pashanim,No events,-,-,-,-,-
150,Michael Jackson,Michael Jackson Starring Ben,https://www.ticketweb.uk/event/michael-jackson-starring-ben-boisdale-canary-wharf-tickets/12834805?REFERRAL_ID=tmfeed,Great Britain,London,-0.022271,51.505252
151,Bazzi,No events,-,-,-,-,-
152,Vegedream,No events,-,-,-,-,-
153,AURORA,Asheville Symphony: Aurora,https://www.ticketmaster.com/asheville-symphony-aurora-asheville-north-carolina-02-18-2023/event/2D005CFCBFB89772,United States Of America,Asheville,-82.555289,35.597471
