,Song_Name,Genre,Subgenre,Subgenre_2,Release_Date,Song_Decade,Streams,Week_Of_Highest_Charting,Month_Highest_Charting,Season_Highest_Charting,Year_Highest_Charting,Popularity,Danceability,Energy,Loudness,Speechiness,Acousticness,Liveness,Tempo,Duration_(Ms),Valence,Chord,Artist,Artist_Followers,Gender,Artist_Generation,Type,Country,Event_Name,url,Event_Country,Event_City,Event_Longitude,Event_Latitude
57,We are Bulletproof : the Eternal,pop,k-pop,k-pop boy group,2020-02-21,2020s,"8,516,710",2020-02-21,February,Winter,2020,72.0,0.526,0.575,-5.215,0.0309,0.225,0.108,84.047,261543.0,0.19,A,BTS,37151476,mixed,Generation Z,group,KR,BTS 14-17 Party,https://www.ticketmaster.co.uk/bts-1417-party-london-12-02-2023/event/1F005D89D56A5463,Great Britain,London,-0.10661535,51.53445948
58,Sobrio,latin,latin,reggaeton,2021-07-08,2020s,"8,514,480",2021-07-23,July,Summer,2021,87.0,0.762,0.77,-2.758,0.223,0.138,0.15,177.998,201181.0,0.631,F,Maluma,26769304,male,Millennial,person,CO,No events,-,-,-,-,-
59,Someone You Loved,pop,pop,uk pop,2019-05-17,2010s,"8,490,162",2019-12-27,December,Winter,2019,86.0,0.501,0.405,-5.679,0.0319,0.751,0.105,109.891,182161.0,0.446,C#/Db,Lewis Capaldi,8384096,male,Generation Z,person,GB,Lewis Capaldi,https://www.ticketmaster.com/lewis-capaldi-new-york-new-york-04-06-2023/event/3C005D501A8317EE,United States Of America,New York,-73.9803981,40.7599136
60,The Christmas Song (Merry Christmas To You),other,lounge,lounge,1962,1960s,"8,478,518",2020-12-18,December,Winter,2020,53.0,0.319,0.21,-15.231,0.0341,0.92,0.138,78.696,192160.0,0.209,C#/Db,Nat King Cole,1634288,male,Generation X,person,US,National Philharmonic - The Music of Nat King Cole,https://am.ticketmaster.com/capitalonehall/natphil,United States Of America,Tysons,-77.212058,38.925348
61,Anxiety - Intro,rap,chicago rap,melodic rap,2020-07-10,2020s,"8,449,557",2020-07-10,July,Summer,2020,60.0,0.307,0.528,-11.337,0.108,0.972,0.222,174.795,70395.0,0.58,B,Juice WRLD,19102888,male,Generation Z,person,US,No events,-,-,-,-,-
62,44 BullDog,drill,brooklyn drill,-,2020-07-03,2020s,"8,443,771",2020-07-03,July,Summer,2020,66.0,0.8,0.564,-5.817,0.4,0.0287,0.112,139.989,150857.0,0.318,G#/Ab,Pop Smoke,6852509,male,Generation Z,person,US,Blackberry Smoke,https://www.ticketmaster.co.uk/blackberry-smoke-glasgow-27-03-2023/event/1F005ABAE4155FC1,Great Britain,Glasgow,-4.2587809,55.8504496
63,Fly To My Room,pop,k-pop,k-pop boy group,2020-11-20,2020s,"8,413,330",2020-11-20,November,Autumn,2020,76.0,0.764,0.526,-7.355,0.212,0.0484,0.0718,114.91,222243.0,0.588,B,BTS,37151476,mixed,Generation Z,group,KR,BTS 14-17 Party,https://www.ticketmaster.co.uk/bts-1417-party-london-12-02-2023/event/1F005D89D56A5463,Great Britain,London,-0.10661535,51.53445948
64,Skit,pop,k-pop,k-pop boy group,2020-11-20,2020s,"8,392,247",2020-11-20,November,Autumn,2020,60.0,0.703,0.321,-13.135,0.884,0.864,0.908,114.822,179548.0,0.544,E,BTS,37151476,mixed,Generation Z,group,KR,BTS 14-17 Party,https://www.ticketmaster.co.uk/bts-1417-party-london-12-02-2023/event/1F005D89D56A5463,Great Britain,London,-0.10661535,51.53445948
65,Joy To The World,other,[],-,2021-08-06,2020s,"8,387,899",2020-12-18,December,Winter,2020,0.0,0.59,0.305,-12.955,0.032,0.894,0.14,102.103,86760.0,0.545,A#/Bb,Nat King Cole,1251372,male,Generation X,person,US,National Philharmonic - The Music of Nat King Cole,https://am.ticketmaster.com/capitalonehall/natphil,United States Of America,Tysons,-77.212058,38.925348
66,Get Me (feat. Kehlani),pop,canadian pop,pop,2020-02-14,2020s,"8,362,828",2020-02-14,February,Winter,2020,61.0,0.832,0.508,-6.913,0.149,0.0492,0.107,109.352,185427.0,0.75,F#/Gb,Justin Bieber,48544923,male,Millennial,person,CA,Justin Bieber,https://www.eticketing.co.uk/asmglobalaberdeen,Great Britain,Aberdeen,-2.190396,57.185147
67,Landed,hip hop,canadian hip hop,canadian pop,2020-05-01,2020s,"8,355,036",2020-05-01,May,Spring,2020,60.0,0.881,0.636,-4.629,0.287,0.00606,0.111,163.949,152195.0,0.715,G,Drake,56327031,male,Millennial,person,CA,Drake White,https://www.ticketmaster.com/drake-white-indianapolis-indiana-03-18-2023/event/05005E22B19D1600,United States Of America,Indianapolis,-86.249381,39.768343
68,Never Love Again,hip hop,detroit hip hop,hip hop,2020-01-17,2020s,"8,335,790",2020-01-17,January,Winter,2020,62.0,0.747,0.899,-5.125,0.246,0.1,0.486,92.029,177547.0,0.581,F,Eminem,46814751,male,Generation X,person,US,SHADY: A Live Band Tribute To The Music Of Eminem,https://www.ticketweb.com/event/shady-a-live-band-tribute-joes-live-rosemont-tickets/12652835,United States Of America,Rosemont,-87.867325,41.979238
69,Woods,hip hop,hip hop,pittsburgh rap,2020-01-17,2020s,"8,329,349",2020-01-17,January,Winter,2020,64.0,0.779,0.362,-10.847,0.0474,0.135,0.111,85.011,286387.0,0.46,C,Mac Miller,6189454,male,Millennial,person,US,No events,-,-,-,-,-
70,Inner Child,pop,k-pop,k-pop boy group,2020-02-21,2020s,"8,312,399",2020-02-21,February,Winter,2020,71.0,0.589,0.696,-7.981,0.0725,0.017,0.0808,134.953,233266.0,0.332,B,BTS,37151476,mixed,Generation Z,group,KR,BTS 14-17 Party,https://www.ticketmaster.co.uk/bts-1417-party-london-12-02-2023/event/1F005D89D56A5463,Great Britain,London,-0.10661535,51.53445948
71,When To Say When,hip hop,canadian hip hop,canadian pop,2020-05-01,2020s,"8,304,928",2020-05-01,May,Spring,2020,60.0,0.41,0.82,-6.808,0.533,0.252,0.538,170.718,223124.0,0.526,C#/Db,Drake,56327031,male,Millennial,person,CA,Drake White,https://www.ticketmaster.com/drake-white-indianapolis-indiana-03-18-2023/event/05005E22B19D1600,United States Of America,Indianapolis,-86.249381,39.768343
72,Lion King On Ice,hip hop,conscious hip hop,hip hop,2020-07-22,2020s,"8,293,983",2020-07-24,July,Summer,2020,64.0,0.732,0.663,-7.616,0.192,0.0819,0.115,139.964,210587.0,0.227,F#/Gb,J. Cole,14103694,male,Millennial,person,US,"Modern Monsters: J. Cole, Nicki, Drake & Kendrick",https://www.ticketweb.com/event/modern-monsters-j-cole-nicki-brooklyn-bowl-tickets/12783905,United States Of America,Brooklyn,-73.957549,40.722053
73,Deep Pockets,hip hop,canadian hip hop,canadian pop,2020-05-01,2020s,"8,285,754",2020-05-01,May,Spring,2020,58.0,0.473,0.824,-3.68,0.163,0.482,0.605,77.888,222929.0,0.374,G,Drake,56327031,male,Millennial,person,CA,Drake White,https://www.ticketmaster.com/drake-white-indianapolis-indiana-03-18-2023/event/05005E22B19D1600,United States Of America,Indianapolis,-86.249381,39.768343
