,Song_Name,Genre,Subgenre,Subgenre_2,Release_Date,Song_Decade,Streams,Week_Of_Highest_Charting,Month_Highest_Charting,Season_Highest_Charting,Year_Highest_Charting,Popularity,Danceability,Energy,Loudness,Speechiness,Acousticness,Liveness,Tempo,Duration_(Ms),Valence,Chord,Artist,Artist_Followers,Gender,Artist_Generation,Type,Country,Event_Name,url,Event_Country,Event_City,Event_Longitude,Event_Latitude
175,Woman,dance pop,dance pop,pop,2021-06-25,2020s,"6,858,466",2021-07-23,July,Summer,2021,86.0,0.824,0.764,-4.175,0.0854,0.0888,0.117,107.998,172627.0,0.881,F,Doja Cat,8640063,female,Generation Z,person,US,No events,-,-,-,-,-
176,Outro : Ego,pop,k-pop,k-pop boy group,2020-02-21,2020s,"6,857,808",2020-02-21,February,Winter,2020,69.0,0.808,0.903,-3.106,0.0958,0.0121,0.0993,116.988,196199.0,0.473,C,BTS,37151476,mixed,Generation Z,group,KR,BTS 14-17 Party,https://www.ticketmaster.co.uk/bts-1417-party-london-12-02-2023/event/1F005D89D56A5463,Great Britain,London,-0.10661535,51.53445948
177,Bet You Wanna (feat. Cardi B),pop,k-pop,k-pop girl group,2020-10-02,2020s,"6,846,771",2020-10-02,October,Autumn,2020,67.0,0.653,0.662,-6.168,0.162,0.00465,0.0626,111.712,161168.0,0.674,G,BLACKPINK,23848461,mixed,Generation Z,group,KR,American Express BST Hyde Park - Blackpink,https://www.ticketmaster.co.uk/american-express-bst-hyde-park-blackpink-london-02-07-2023/event/37005D5494BB2904,Great Britain,London,-0.165708,51.507432
178,Clash (feat. Stormzy),hip hop,uk hip hop,-,2021-07-08,2020s,"6,825,463",2021-07-23,July,Summer,2021,79.0,0.871,0.519,-6.549,0.258,0.313,0.0869,140.013,251733.0,0.532,D,Dave,1427540,male,Silent,person,US,Lady A w/ Dave Barnes,https://www.ticketmaster.com/event/Z7r9jZ1Ado_e7,United States Of America,Charleston,-79.936401,32.779499
179,Before You Go,pop,pop,uk pop,2019-11-22,2010s,"6,813,800",2020-02-07,February,Winter,2020,83.0,0.459,0.575,-4.858,0.0573,0.604,0.0885,111.881,215107.0,0.183,D#/Eb,Lewis Capaldi,8384096,male,Generation Z,person,GB,Lewis Capaldi,https://www.ticketmaster.com/lewis-capaldi-new-york-new-york-04-06-2023/event/3C005D501A8317EE,United States Of America,New York,-73.9803981,40.7599136
180,This Christmas,other,classic soul,classic soul,1990-04-03,1990s,"6,809,438",2020-12-18,December,Winter,2020,42.0,0.634,0.645,-9.2,0.0376,0.292,0.246,93.047,231173.0,0.677,F,Donny Hathaway,424935,male,Millennial,person,US,No events,-,-,-,-,-
181,Good In Bed,dance pop,dance pop,pop,2021-02-11,2020s,"6,802,068",2020-03-27,March,Spring,2020,64.0,0.68,0.701,-5.001,0.0917,0.138,0.168,94.06,218754.0,0.649,F,Dua Lipa,27167675,female,Generation Z,person,GB,No events,-,-,-,-,-
182,Levitating,dance pop,dance pop,pop,2020-10-01,2020s,"6,799,831",2020-03-27,March,Spring,2020,89.0,0.702,0.825,-3.787,0.0601,0.00883,0.0674,102.977,203064.0,0.915,F#/Gb,Dua Lipa,27142474,female,Generation Z,person,GB,No events,-,-,-,-,-
183,mad woman,pop,pop,post-teen pop,2020-07-24,2020s,"6,796,343",2020-07-24,July,Summer,2020,67.0,0.592,0.699,-8.995,0.0471,0.655,0.114,141.916,237258.0,0.506,D#/Eb,Taylor Swift,42227614,female,Millennial,person,US,Taylor Swift Night,https://www.ticketweb.com/event/taylor-swift-night-brooklyn-bowl-nashville-tickets/12722145,United States Of America,Nashville,-86.7853446,36.1726131
184,Damaged,hip hop,hip hop,ohio hip hop,2020-12-11,2020s,"6,763,705",2020-12-11,December,Winter,2020,57.0,0.625,0.581,-7.1,0.0316,0.553,0.254,142.04,150853.0,0.267,G#/Ab,Kid Cudi,5002317,male,Millennial,person,US,No events,-,-,-,-,-
185,Wasting Time ( feat. Drake ),rap,dmv rap,pop,2021-07-01,2020s,"6,731,106",2021-07-02,July,Summer,2021,78.0,0.652,0.717,-3.751,0.0581,0.0694,0.0906,89.982,301304.0,0.377,G,Brent Faiyaz,1724414,male,Generation Z,person,US,No events,-,-,-,-,-
186,A Holly Jolly Christmas - Single Version,other,american folk revival,american folk revival,1965-01-01,1960s,"6,716,353",2020-12-18,December,Winter,2020,49.0,0.683,0.375,-13.056,0.0303,0.579,0.076,140.467,135533.0,0.888,C,Burl Ives,58479,male,Silent,person,US,No events,-,-,-,-,-
187,Reckless,dance pop,dance pop,dance pop,2021-06-04,2020s,"6,711,375",2021-07-09,July,Summer,2021,86.0,0.386,0.426,-6.642,0.0363,0.807,0.14,180.104,203385.0,0.261,D#/Eb,Madison Beer,3363988,female,Generation Z,person,US,No events,-,-,-,-,-
188,Big Body Benz,hip hop,german hip hop,hamburg hip hop,2020-06-18,2020s,"6,707,101",2020-06-19,June,Summer,2020,61.0,0.884,0.451,-8.969,0.393,0.0731,0.268,94.024,148284.0,0.311,A,Bonez MC,1683006,male,Millennial,person,DE,No events,-,-,-,-,-
189,Believer,rock,modern rock,pop,2017-06-23,2010s,"6,699,895",2020-06-26,June,Summer,2020,86.0,0.776,0.78,-4.374,0.128,0.0622,0.081,124.949,204347.0,0.666,A#/Bb,Imagine Dragons,35285425,mixed,Generation Z,group,US,Imagine Dragons,https://www.ticketmaster.com/imagine-dragons-milwaukee-wisconsin-07-08-2023/event/07005D689BED1C00,United States Of America,Milwaukee,-87.897661,43.027552
190,"Lemonade (feat. Gunna, Don Toliver & NAV)",rap,pop rap,rap,2020-08-14,2020s,"6,697,067",2020-10-16,October,Autumn,2020,82.0,0.799,0.66,-6.153,0.079,0.256,0.111,140.04,195429.0,0.471,C#/Db,Internet Money,411579,mixed,Generation Z,group,US,No events,-,-,-,-,-
191,Ring,dance pop,dance pop,pop,2020-01-10,2020s,"6,693,229",2020-01-10,January,Winter,2020,55.0,0.873,0.51,-5.35,0.0661,0.565,0.0738,110.953,148776.0,0.871,D#/Eb,Selena Gomez,28931149,female,Millennial,person,US,No events,-,-,-,-,-
192,Juice WRLD Speaks From Heaven - Outro,rap,chicago rap,melodic rap,2020-07-10,2020s,"6,682,917",2020-07-10,July,Summer,2020,59.0,0.392,0.373,-14.097,0.0968,0.991,0.545,121.678,30583.0,0.519,C,Juice WRLD,19102888,male,Generation Z,person,US,No events,-,-,-,-,-
193,Winter Wonderland,other,easy listening,easy listening,2014-12-09,2010s,"6,680,928",2020-12-18,December,Winter,2020,29.0,0.604,0.497,-6.676,0.0319,0.727,0.102,126.011,149307.0,0.72,C#/Db,Tony Bennett,659472,male,Silent,person,US,No events,-,-,-,-,-
194,Talking to the Moon,dance pop,dance pop,pop,2010-10-05,2010s,"6,660,319",2021-04-30,April,Spring,2021,83.0,0.523,0.606,-4.754,0.0301,0.512,0.106,145.837,217867.0,0.065,C#/Db,Bruno Mars,32574754,male,Millennial,person,US,Bruno Mars,https://www.ticketmaster.com/bruno-mars-lincoln-california-02-18-2023/event/1C005D3E9222732F,United States Of America,Lincoln,-121.31368,38.84026
195,Christmas Tree Farm,pop,pop,post-teen pop,2019-12-06,2010s,"6,657,404",2020-12-18,December,Winter,2020,52.0,0.598,0.68,-4.505,0.0331,0.06,0.324,134.002,228027.0,0.437,G,Taylor Swift,42227614,female,Millennial,person,US,Taylor Swift Night,https://www.ticketweb.com/event/taylor-swift-night-brooklyn-bowl-nashville-tickets/12722145,United States Of America,Nashville,-86.7853446,36.1726131
196,Interlude : Shadow,pop,k-pop,k-pop boy group,2020-02-21,2020s,"6,655,856",2020-02-21,February,Winter,2020,68.0,0.385,0.798,-6.439,0.483,0.115,0.181,149.756,259821.0,0.141,A,BTS,37151476,mixed,Generation Z,group,KR,BTS 14-17 Party,https://www.ticketmaster.co.uk/bts-1417-party-london-12-02-2023/event/1F005D89D56A5463,Great Britain,London,-0.10661535,51.53445948
197,Blinding Lights (with ROSALÍA) - Remix,r&b,canadian contemporary r&b,canadian pop,2020-12-04,2020s,"6,653,913",2020-12-04,December,Winter,2020,64.0,0.49,0.694,-5.793,0.0618,0.0133,0.0946,170.903,216123.0,0.249,F,The Weeknd,35340069,male,Millennial,person,CA,The Weeknd Grada,https://www.ticketmaster.com.mx/the-weeknd-grada-mexico-29-09-2023/event/14005D6EA9652FE7,Mexico,México,-99.095618,19.405199
198,Roses - Imanbek Remix,rap,melodic rap,pop rap,2020-11-20,2020s,"6,653,690",2020-06-19,June,Summer,2020,72.0,0.769,0.719,-5.472,0.0474,0.0143,0.359,121.955,176867.0,0.863,G#/Ab,SAINt JHN,742692,male,Generation Z,person,US,No events,-,-,-,-,-
199,Cozy Little Christmas,dance pop,dance pop,pop,2018-11-15,2010s,"6,652,130",2020-12-18,December,Winter,2020,41.0,0.774,0.608,-6.264,0.128,0.128,0.0895,137.494,182521.0,0.56,G,Katy Perry,18936929,female,Millennial,person,US,Katy Perry,https://www.ticketmaster.com/event/Z7r9jZ1Ad_xP9,United States Of America,Las Vegas,-115.145103,36.124401
200,Negro,latin,latin,reggaeton,2020-03-19,2020s,"6,651,425",2020-03-20,March,Spring,2020,67.0,0.795,0.911,-2.228,0.0875,0.0157,0.131,164.081,182093.0,0.8,C,J Balvin,29067437,male,Millennial,person,CO,No events,-,-,-,-,-
201,COOLER THAN A BITCH (feat. Roddy Ricch),hip hop,atl hip hop,hip hop,2020-05-22,2020s,"6,642,144",2020-05-22,May,Spring,2020,67.0,0.837,0.586,-8.521,0.0807,0.281,0.134,117.066,197000.0,0.618,B,Gunna,3337982,male,Millennial,person,US,No events,-,-,-,-,-
202,"The Man, The Myth, The Legend - Interlude",rap,chicago rap,melodic rap,2020-07-10,2020s,"6,640,728",2020-07-10,July,Summer,2020,58.0,0.667,0.447,-14.625,0.761,0.916,0.612,83.534,136545.0,0.829,D,Juice WRLD,19102888,male,Generation Z,person,US,No events,-,-,-,-,-
203,"Merry Christmas, Happy Holidays",dance pop,dance pop,dance pop,1998-10-30,1990s,"6,635,128",2020-12-18,December,Winter,2020,41.0,0.643,0.939,-3.967,0.0463,0.104,0.881,104.999,255307.0,0.756,F,*NSYNC,1564750,mixed,Millennial,group,US,Club 90's: BSB VS NSYNC Night,https://concerts.livenation.com/club-90s-bsb-vs-nsync-night-phoenix-arizona-01-27-2023/event/19005D7509C040C5,United States Of America,Phoenix,-112.079228,33.451085
204,tolerate it,pop,pop,post-teen pop,2020-12-11,2020s,"6,635,109",2020-12-11,December,Winter,2020,67.0,0.316,0.361,-10.381,0.0488,0.878,0.0797,74.952,245440.0,0.221,A,Taylor Swift,42227614,female,Millennial,person,US,Taylor Swift Night,https://www.ticketweb.com/event/taylor-swift-night-brooklyn-bowl-nashville-tickets/12722145,United States Of America,Nashville,-86.7853446,36.1726131
205,Sal y Perrea,latin,latin,panamanian pop,2021-04-15,2020s,"6,635,076",2021-06-04,June,Summer,2021,86.0,0.786,0.899,-0.515,0.127,0.192,0.299,90.025,216510.0,0.813,A#/Bb,Sech,8758283,male,Millennial,person,PA,No events,-,-,-,-,-
206,Shy Away,rock,modern rock,rock,2021-05-21,2020s,"6,634,722",2021-04-09,April,Spring,2021,77.0,0.588,0.856,-5.242,0.0316,0.000818,0.238,96.966,175044.0,0.635,A,Twenty One Pilots,20823062,mixed,Generation Z,group,US,No events,-,-,-,-,-
207,Chromatica I,dance pop,dance pop,pop,2020-05-29,2020s,"6,630,385",2020-05-29,May,Spring,2020,58.0,0.184,0.297,-14.534,0.0359,0.473,0.527,75.824,41867.0,0.113,D,Lady Gaga,18585963,female,Millennial,person,US,Big Wig Lady Gaga Brunch: The Ultimate Drag Experience,https://concerts.livenation.com/big-wig-lady-gaga-brunch-the-philadelphia-pennsylvania-01-28-2023/event/02005D69970923FB,United States Of America,Philadelphia,-75.134752,39.965819
208,Saturday,rock,modern rock,rock,2021-05-21,2020s,"6,628,638",2021-05-21,May,Spring,2021,75.0,0.687,0.89,-5.99,0.0344,0.00396,0.0436,113.06,172232.0,0.854,G#/Ab,Twenty One Pilots,20823062,mixed,Generation Z,group,US,No events,-,-,-,-,-
209,Enjoy Yourself (feat. Karol G),drill,brooklyn drill,-,2020-07-03,2020s,"6,620,040",2020-07-03,July,Summer,2020,70.0,0.764,0.676,-6.761,0.0927,0.389,0.215,97.02,197938.0,0.461,B,Pop Smoke,6852509,male,Generation Z,person,US,Blackberry Smoke,https://www.ticketmaster.co.uk/blackberry-smoke-glasgow-27-03-2023/event/1F005ABAE4155FC1,Great Britain,Glasgow,-4.2587809,55.8504496
210,test drive,dance pop,dance pop,pop,2021-02-19,2020s,"6,591,829",2021-02-19,February,Winter,2021,71.0,0.698,0.708,-4.943,0.0454,0.0251,0.124,115.036,122174.0,0.322,A,Ariana Grande,67208170,female,Millennial,person,US,No events,-,-,-,-,-
211,Cardigan,rap,rap,trap,2020-03-13,2020s,"6,586,204",2020-03-13,March,Spring,2020,70.0,0.747,0.497,-6.542,0.0401,0.248,0.138,142.046,158709.0,0.0663,E,Don Toliver,1606884,male,Millennial,person,US,Rolling Loud California,https://on.fgtix.com/trk/Ntkn,United States Of America,Inglewood,-118.3368854,33.95371247
212,lovely (with Khalid),pop,electropop,pop,2018-04-19,2010s,"6,569,547",2020-04-17,April,Spring,2020,86.0,0.351,0.296,-10.109,0.0333,0.934,0.095,115.284,200186.0,0.12,E,Billie Eilish,47014200,female,Generation Z,person,US,Billie Eilish Estacionamiento,https://www.ticketmaster.com.mx/billie-eilish-estacionamiento-mexico-29-03-2023/event/14005D548BCB0A5B,Mexico,México,-99.095618,19.405199
213,Scared To Live,r&b,canadian contemporary r&b,canadian pop,2020-03-20,2020s,"6,566,099",2020-03-20,March,Spring,2020,66.0,0.504,0.498,-8.24,0.0499,0.131,0.0929,87.221,191307.0,0.196,C,The Weeknd,35340069,male,Millennial,person,CA,The Weeknd Grada,https://www.ticketmaster.com.mx/the-weeknd-grada-mexico-29-09-2023/event/14005D6EA9652FE7,Mexico,México,-99.095618,19.405199
214,Forever & Always (Taylor’s Version),pop,pop,post-teen pop,2021-04-09,2020s,"6,566,059",2021-04-09,April,Spring,2021,66.0,0.598,0.821,-4.433,0.0447,0.0231,0.143,128.03,225328.0,0.673,A#/Bb,Taylor Swift,42227614,female,Millennial,person,US,Taylor Swift Night,https://www.ticketweb.com/event/taylor-swift-night-brooklyn-bowl-nashville-tickets/12722145,United States Of America,Nashville,-86.7853446,36.1726131
215,Yikes,dance pop,dance pop,hip pop,2020-02-07,2020s,"6,561,188",2020-02-07,February,Winter,2020,70.0,0.911,0.637,-8.381,0.447,0.0409,0.238,149.996,156882.0,0.66,G#/Ab,Nicki Minaj,22170982,female,Millennial,person,US,No events,-,-,-,-,-
216,Yellow Hearts,r&b,chill r&b,pop,2019-06-18,2010s,"6,554,824",2020-01-03,January,Winter,2020,70.0,0.866,0.438,-8.943,0.0719,0.177,0.0743,129.039,223258.0,0.695,G,Ant Saunders,82522,male,Generation Z,person,US,No events,-,-,-,-,-
217,Commercial (feat. Lil Uzi Vert),hip hop,atl hip hop,atl trap,2020-02-28,2020s,"6,540,577",2020-02-28,February,Winter,2020,67.0,0.892,0.486,-8.637,0.384,0.048,0.146,120.998,214215.0,0.535,B,Lil Baby,7816213,male,Millennial,person,US,Reading Festival 2023 - Weekend Tickets,https://www.ticketmaster.co.uk/reading-festival-2023-weekend-tickets-reading-24-08-2023/event/37005CA4AE1A39BB,Great Britain,Reading,-0.984937,51.463682
218,Confirmation,pop,canadian pop,pop,2020-02-14,2020s,"6,520,106",2020-02-14,February,Winter,2020,58.0,0.438,0.315,-8.186,0.0375,0.608,0.151,190.064,170587.0,0.449,G#/Ab,Justin Bieber,48544923,male,Millennial,person,CA,Justin Bieber,https://www.eticketing.co.uk/asmglobalaberdeen,Great Britain,Aberdeen,-2.190396,57.185147
219,Forever (feat. Post Malone & Clever),pop,canadian pop,pop,2020-02-14,2020s,"6,517,807",2020-02-14,February,Winter,2020,68.0,0.825,0.483,-5.746,0.08,0.538,0.204,139.98,219933.0,0.892,G#/Ab,Justin Bieber,48544923,male,Millennial,person,CA,Justin Bieber,https://www.eticketing.co.uk/asmglobalaberdeen,Great Britain,Aberdeen,-2.190396,57.185147
220,In Your Eyes (with Doja Cat) - Remix,r&b,canadian contemporary r&b,canadian pop,2020-05-21,2020s,"6,511,008",2020-05-22,May,Spring,2020,67.0,0.679,0.731,-5.522,0.0319,0.00518,0.0614,99.984,237912.0,0.727,G,The Weeknd,35340069,male,Millennial,person,CA,The Weeknd Grada,https://www.ticketmaster.com.mx/the-weeknd-grada-mexico-29-09-2023/event/14005D6EA9652FE7,Mexico,México,-99.095618,19.405199
221,Breathe (feat. Colbie Caillat) (Taylor’s Version),pop,pop,post-teen pop,2021-04-09,2020s,"6,508,683",2021-04-09,April,Spring,2021,64.0,0.506,0.626,-6.066,0.0287,0.156,0.228,148.035,263377.0,0.321,C#/Db,Taylor Swift,42227614,female,Millennial,person,US,Taylor Swift Night,https://www.ticketweb.com/event/taylor-swift-night-brooklyn-bowl-nashville-tickets/12722145,United States Of America,Nashville,-86.7853446,36.1726131
222,Get Into It (Yuh),dance pop,dance pop,pop,2021-06-25,2020s,"6,503,281",2021-06-25,June,Summer,2021,80.0,0.912,0.655,-6.029,0.162,0.315,0.0894,91.942,138293.0,0.793,G#/Ab,Doja Cat,8640063,female,Generation Z,person,US,No events,-,-,-,-,-
223,Streets,dance pop,dance pop,pop,2019-11-07,2010s,"6,502,302",2021-02-05,February,Winter,2021,86.0,0.749,0.463,-8.433,0.0842,0.21,0.338,90.035,226987.0,0.189,B,Doja Cat,8640063,female,Generation Z,person,US,No events,-,-,-,-,-
224,Sum 2 Prove,hip hop,atl hip hop,atl trap,2020-01-10,2020s,"6,497,610",2020-01-10,January,Winter,2020,71.0,0.823,0.552,-7.57,0.324,0.0174,0.122,124.038,205760.0,0.418,E,Lil Baby,7816213,male,Millennial,person,US,Reading Festival 2023 - Weekend Tickets,https://www.ticketmaster.co.uk/reading-festival-2023-weekend-tickets-reading-24-08-2023/event/37005CA4AE1A39BB,Great Britain,Reading,-0.984937,51.463682
225,By Your Side (feat. Tom Grennan),dance pop,dance pop,edm,2021-06-04,2020s,"6,488,622",2021-06-04,June,Summer,2021,85.0,0.733,0.96,-3.597,0.0295,0.0514,0.287,124.01,189672.0,0.811,G,Calvin Harris,21942793,male,Millennial,person,GB,Creamfields South 2023 - 3 Day Camping,https://www.ticketmaster.co.uk/creamfields-south-2023-3-day-camping-chelmsford-26-05-2023/event/1F005CD9D76B3FAB,Great Britain,Chelmsford,0.435907,51.711514
226,Crowded Room (feat. 6LACK),dance pop,dance pop,pop,2020-01-10,2020s,"6,483,001",2020-01-10,January,Winter,2020,55.0,0.724,0.415,-8.408,0.0518,0.764,0.103,89.999,186459.0,0.328,G,Selena Gomez,28931149,female,Millennial,person,US,No events,-,-,-,-,-
227,MORENA,pop,sertanejo pop,sertanejo pop,2021-06-17,2020s,"6,469,500",2021-07-23,July,Summer,2021,85.0,0.526,0.731,-4.662,0.0887,0.18,0.0891,86.959,193221.0,0.476,B,Luan Santana,5420471,male,Millennial,person,BR,No events,-,-,-,-,-
228,That's On Me,hip hop,hip hop,pittsburgh rap,2020-01-17,2020s,"6,462,701",2020-01-17,January,Winter,2020,60.0,0.583,0.499,-10.086,0.0261,0.591,0.33,155.199,217868.0,0.342,A#/Bb,Mac Miller,6189454,male,Millennial,person,US,No events,-,-,-,-,-
229,Shape of You,pop,pop,uk pop,2017-03-03,2010s,"6,452,492",2019-12-27,December,Winter,2019,85.0,0.825,0.652,-3.183,0.0802,0.581,0.0931,95.977,233713.0,0.931,C#/Db,Ed Sheeran,83293380,male,Millennial,person,GB,Ed Sheeran: +-=÷x Tour,https://www.ticketmaster.com/ed-sheeran-x-tour-east-rutherford-new-jersey-06-10-2023/event/00005D3DE5604AD8,United States Of America,East Rutherford,-74.074493,40.81359
230,Liberdade Provisória,pop,sertanejo pop,sertanejo universitario,2019-12-06,2010s,"6,442,626",2019-12-27,December,Winter,2019,66.0,0.668,0.684,-5.937,0.0527,0.627,0.923,108.138,187986.0,0.7,C#/Db,Henrique & Juliano,13312073,mixed,Generation Z,group,BR,No events,-,-,-,-,-
231,Silly Watch,rap,melodic rap,philly rap,2020-03-06,2020s,"6,442,451",2020-03-06,March,Spring,2020,65.0,0.903,0.535,-6.238,0.286,0.0298,0.0851,130.117,195692.0,0.157,G#/Ab,Lil Uzi Vert,11821805,male,Millennial,person,US,Rolling Loud California,https://on.fgtix.com/trk/Ntkn,United States Of America,Inglewood,-118.3368854,33.95371247
232,Last Train Home,pop rock,pop rock,pop rock,2021-07-16,2020s,"6,439,718",2021-06-04,June,Summer,2021,75.0,0.591,0.831,-6.612,0.0355,0.235,0.0571,93.007,187307.0,0.678,E,John Mayer,5178156,male,Generation X,person,US,The Music of John Mayer,https://www.ticketmaster.com.au/the-music-of-john-mayer-city-beach-20-01-2023/event/13005D065ED30C4E,Australia,City Beach,115.76908112,-31.93377686
233,Dámelo To’ (feat. Myke Towers),dance pop,dance pop,pop,2021-03-12,2020s,"6,426,522",2021-03-12,March,Spring,2021,64.0,0.787,0.641,-7.376,0.315,0.101,0.07,182.003,184134.0,0.437,G#/Ab,Selena Gomez,28931149,female,Millennial,person,US,No events,-,-,-,-,-
234,Lost,pop,pop,pop rock,2021-06-11,2020s,"6,410,263",2021-06-11,June,Summer,2021,79.0,0.766,0.706,-6.553,0.16,0.223,0.064,142.989,172598.0,0.766,G,Maroon 5,32262679,mixed,Generation Z,group,US,Prague Rocks: Maroon 5,https://www.ticketmaster.cz/event/prague-rocks-maroon-5-tickets/45801?language=en-us,Czech Republic,Praha 9,14.5238,50.13177
235,Please Come Home for Christmas - 2013 Remaster,rock,album rock,classic rock,1994,1990s,"6,400,108",2020-12-18,December,Winter,2020,44.0,0.612,0.289,-11.568,0.0421,0.599,0.0561,183.18,177440.0,0.466,A,Eagles,6896776,mixed,Generation X,group,US,Eagles,https://www.ticketmaster.com/eagles-phoenix-arizona-03-01-2023/event/19005D4EB2F93F05,United States Of America,Phoenix,-112.071313,33.445899
236,YO VISTO ASÍ,latin,latin,reggaeton,2020-11-27,2020s,"6,388,079",2020-11-27,November,Autumn,2020,73.0,0.688,0.881,-4.889,0.0474,0.0947,0.0804,123.013,191526.0,0.677,G,Bad Bunny,36177712,male,Millennial,person,PR,Bad Bunny Night,https://www.ticketweb.com/event/bad-bunny-night-house-of-independents-tickets/12723755,United States Of America,Asbury Park,-74.00979,40.21584
237,WUNNA,hip hop,atl hip hop,hip hop,2020-05-22,2020s,"6,384,306",2020-05-22,May,Spring,2020,60.0,0.89,0.455,-9.0,0.255,0.0217,0.11,148.009,158240.0,0.313,C,Gunna,3337982,male,Millennial,person,US,No events,-,-,-,-,-
238,Boot,hip hop,german hip hop,-,2020-07-31,2020s,"6,375,562",2020-06-05,June,Summer,2020,54.0,0.534,0.565,-7.546,0.307,0.0627,0.112,194.034,193360.0,0.529,G#/Ab,Apache 207,1674348,male,Generation Z,person,DE,Apache 207 | Box seat in the Ticketmaster Suite,https://www.ticketmaster.de/event/apache-207-%7C-box-seat-in-the-ticketmaster-suite-tickets/487625?language=en-us,Germany,Berlin,13.44314,52.50573
239,Unaccommodating (feat. Young M.A),hip hop,detroit hip hop,hip hop,2020-01-17,2020s,"6,374,807",2020-01-17,January,Winter,2020,65.0,0.852,0.752,-5.793,0.0597,0.0169,0.394,89.95,216600.0,0.389,C#/Db,Eminem,46814751,male,Generation X,person,US,SHADY: A Live Band Tribute To The Music Of Eminem,https://www.ticketweb.com/event/shady-a-live-band-tribute-joes-live-rosemont-tickets/12652835,United States Of America,Rosemont,-87.867325,41.979238
240,Respect,pop,k-pop,k-pop boy group,2020-02-21,2020s,"6,373,954",2020-02-21,February,Winter,2020,67.0,0.661,0.84,-4.805,0.116,0.00485,0.287,91.457,237540.0,0.524,C,BTS,37151476,mixed,Generation Z,group,KR,BTS 14-17 Party,https://www.ticketmaster.co.uk/bts-1417-party-london-12-02-2023/event/1F005D89D56A5463,Great Britain,London,-0.10661535,51.53445948
241,FML,rap,pop rap,rhode island rap,2018-06-03,2010s,"6,350,496",2020-01-31,January,Winter,2020,74.0,0.822,0.575,-5.95,0.0934,0.113,0.106,100.087,223000.0,0.616,F,Arizona Zervas,621200,male,Millennial,person,US,No events,-,-,-,-,-
242,Mios mit Bars,drill,german drill,german hip hop,2020-02-13,2020s,"6,341,141",2020-02-14,February,Winter,2020,57.0,0.677,0.633,-7.353,0.0467,0.111,0.217,145.012,232147.0,0.404,A,Luciano,942380,male,Generation X,person,JM,Ligabue,https://www.ticketmaster.co.uk/ligabue-london-11-01-2023/event/1F00583BC2D9C951,Great Britain,London,-0.224435,51.503525
243,9 5 . s o u t h,hip hop,conscious hip hop,hip hop,2021-05-14,2020s,"6,333,126",2021-05-14,May,Spring,2021,75.0,0.713,0.793,-5.277,0.397,0.271,0.727,71.724,196946.0,0.203,D,J. Cole,14097410,male,Millennial,person,US,"Modern Monsters: J. Cole, Nicki, Drake & Kendrick",https://www.ticketweb.com/event/modern-monsters-j-cole-nicki-brooklyn-bowl-tickets/12783905,United States Of America,Brooklyn,-73.957549,40.722053
244,love race (feat. Kellin Quinn),hip hop,ohio hip hop,pop rap,2021-04-29,2020s,"6,325,080",2021-04-30,April,Spring,2021,76.0,0.517,0.848,-4.054,0.0521,0.00581,0.214,95.906,188779.0,0.429,A#/Bb,Machine Gun Kelly,3864419,male,Millennial,person,US,Machine Gun Kelly,https://www.ticketmaster.com/event/Z7r9jZ1Adb47e,United States Of America,Scottsdale,-111.836502,33.6894
245,Avalanche,hip hop,atl hip hop,pop rap,2021-06-11,2020s,"6,323,268",2021-06-11,June,Summer,2021,71.0,0.917,0.623,-8.231,0.135,0.0985,0.0833,126.063,206272.0,0.687,C#/Db,Migos,11690201,mixed,Generation Z,group,US,No events,-,-,-,-,-
246,We're Good,dance pop,dance pop,pop,2021-02-11,2020s,"6,318,660",2021-02-12,February,Winter,2021,83.0,0.722,0.588,-5.932,0.0544,0.0319,0.183,134.01,165507.0,0.59,F#/Gb,Dua Lipa,27142474,female,Generation Z,person,GB,No events,-,-,-,-,-
247,Hold On,other,[],-,2021-08-13,2020s,"6,300,416",2021-03-19,March,Spring,2021,0.0,0.658,0.634,-5.797,0.0413,0.0106,0.132,139.98,170813.0,0.29,C#/Db,Justin Bieber,1250353,male,Millennial,person,CA,Justin Bieber,https://www.eticketing.co.uk/asmglobalaberdeen,Great Britain,Aberdeen,-2.190396,57.185147
248,Seeing Green (with Drake & Lil Wayne),dance pop,dance pop,hip pop,2021-05-14,2020s,"6,299,936",2021-05-14,May,Spring,2021,77.0,0.573,0.867,-2.876,0.168,0.0853,0.38,74.861,339506.0,0.231,F,Nicki Minaj,22161310,female,Millennial,person,US,No events,-,-,-,-,-
249,Epidemic,rap,chicago rap,-,2020-09-25,2020s,"6,292,620",2020-09-25,September,Autumn,2020,71.0,0.616,0.617,-8.431,0.52,0.128,0.177,175.929,177273.0,0.476,C#/Db,Polo G,4849204,male,Generation Z,person,US,Dakota's Springfest Kickoff Party Featuring Polo G & Lil Xan,https://www.ticketmaster.com/dakotas-springfest-kickoff-party-featuring-polo-fargo-north-dakota-03-10-2023/event/06005D87C41558AC,United States Of America,Fargo,-96.876097,46.835551
250,My Kind Of Present,dance pop,dance pop,hip pop,2020-10-30,2020s,"6,278,993",2020-12-18,December,Winter,2020,41.0,0.485,0.444,-6.232,0.195,0.373,0.0969,179.967,161013.0,0.777,C#/Db,Meghan Trainor,10606572,female,Millennial,person,US,No events,-,-,-,-,-
